step,pre_disaster_action,flood_target,action,reward,done,hub_states,city_states
11,0,B1,"[2, 1, 1]",2431.6,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 570, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 830, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 440, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 150, 'normal': 120, 'severe_remaining': 70, 'medium_remaining': 50, 'normal_remaining': 680}, 'S3': {'severe': 20, 'medium': 30, 'normal': 0, 'severe_remaining': 0, 'medium_remaining': 20, 'normal_remaining': 2000}}"
12,0,B1,"[2, 1, 1]",233.1,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 520, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 780, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 390, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 30, 'medium': 150, 'normal': 170, 'severe_remaining': 70, 'medium_remaining': 50, 'normal_remaining': 630}, 'S3': {'severe': 20, 'medium': 50, 'normal': 0, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 2000}}"
13,0,B1,"[2, 1, 1]",1634.6,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 470, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 730, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 340, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 190, 'normal': 220, 'severe_remaining': 60, 'medium_remaining': 10, 'normal_remaining': 580}, 'S3': {'severe': 20, 'medium': 50, 'normal': 30, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1970}}"
14,0,B1,"[2, 1, 1]",36.1,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 420, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 680, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 290, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 280, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 520}, 'S3': {'severe': 20, 'medium': 50, 'normal': 80, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1920}}"
15,0,B1,"[2, 1, 1]",-162.4,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 370, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 630, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 240, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 430, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 370}, 'S3': {'severe': 20, 'medium': 50, 'normal': 130, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1870}}"
16,0,B1,"[2, 1, 1]",-160.9,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 320, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 580, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 190, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 530, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 270}, 'S3': {'severe': 20, 'medium': 50, 'normal': 180, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1820}}"
17,0,B1,"[2, 1, 1]",-159.4,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 270, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 530, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 140, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 630, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 170}, 'S3': {'severe': 20, 'medium': 50, 'normal': 230, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1770}}"
18,0,B1,"[2, 1, 1]",-157.9,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 220, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 480, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 90, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 730, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 70}, 'S3': {'severe': 20, 'medium': 50, 'normal': 280, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1720}}"
19,0,B1,"[2, 1, 1]",-156.4,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 170, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 430, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 40, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 330, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1670}}"
20,0,B1,"[2, 1, 1]",-155.0,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 120, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 380, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 430, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1570}}"
21,0,B1,"[0, 1, 1]",-154.0,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 70, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 330, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 480, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1520}}"
22,0,B1,"[0, 1, 1]",-153.0,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 20, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 280, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 530, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1470}}"
23,0,B1,"[0, 1, 1]",-152.3,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 230, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 580, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1420}}"
24,0,B1,"[0, 1, 1]",-151.8,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 180, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 630, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1370}}"
25,0,B1,"[0, 1, 1]",-151.3,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 130, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 0, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 500}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 680, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1320}}"
26,0,B1,"[0, 1, 1]",-150.8,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'NORMAL'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 80, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 50, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 450}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 730, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1270}}"
27,0,B1,"[0, 1, 1]",-150.3,False,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'WARNING'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 30, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 100, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 400}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 780, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1220}}"
28,0,B1,"[0, 1, 1]",-150.0,True,"{'B1': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 458.0, 'available': True, 'stage': 'WARNING'}, 'B2': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 416.0, 'available': True, 'stage': 'NORMAL'}, 'B3': {'severe': 0, 'medium': 0, 'normal': 0, 'food': 0.0, 'med': 474.0, 'available': True, 'stage': 'NORMAL'}}","{'S1': {'severe': 0, 'medium': 0, 'normal': 120, 'severe_remaining': 200, 'medium_remaining': 100, 'normal_remaining': 380}, 'S2': {'severe': 40, 'medium': 200, 'normal': 800, 'severe_remaining': 60, 'medium_remaining': 0, 'normal_remaining': 0}, 'S3': {'severe': 20, 'medium': 50, 'normal': 830, 'severe_remaining': 0, 'medium_remaining': 0, 'normal_remaining': 1170}}"
